STOP_FRISK_DATE_DAYNO,STOP_FRISK_TIME_DAYMIN,OBSERVED_DURATION_MINUTES,OBSERVED_DURATION_MINUTES_EDITED,STOP_DURATION_MINUTES,STOP_DURATION_MINUTES_EDITED,SUSPECT_REPORTED_AGE,SUSPECT_HEIGHT,SUSPECT_HEIGHT_EDITED,SUSPECT_WEIGHT
24,1029,0,0,190,50,17,5.1,152.5,130
10,1092,1,1,15,15,41,5.7,167.5,160
31,1076,1,1,5,5,34,6.4,190,250
10,1340,1,1,2,2,26,5.6,165,160
3,1307,1,1,10,10,25,6,180,160
3,1247,1,1,12,12,26,6,180,180
10,1425,1,1,5,5,40,5.1,152.5,225
17,1416,1,1,2,2,25,5.9,172.5,170
17,1280,3,3,5,5,15,5.7,167.5,145
31,122,5,5,10,10,25,5.5,162.5,160
3,1380,10,10,15,15,49,6.1,182.5,250
24,1057,2,2,20,20,17,6.3,187.5,150
24,1090,1,1,19,19,31,5.6,165,190
10,1236,1,1,5,5,27,6,180,180
24,85,1,1,27,27,25,6.1,182.5,200
24,1151,2,2,17,17,58,5.9,172.5,170
10,1436,1,1,23,23,28,5.8,170,200
24,1271,1,1,7,7,23,5.6,165,135
31,1143,1,1,10,10,31,5.8,170,150
3,930,1,1,5,5,35,5.6,165,180
24,1097,1,1,8,8,31,5.8,170,150
3,1300,1,1,1,1,20,5.6,165,140
18,170,2,2,5,5,20,5.8,170,180
11,1025,1,1,15,15,46,5.6,165,170
25,1274,1,1,6,6,56,6.4,190,180
25,1274,1,1,6,6,55,5.11,177.5,180
25,1255,1,1,20,20,23,5.8,170,160
25,1126,1,1,5,5,15,5,150,110
4,155,2,2,15,15,34,5.7,167.5,210
18,1110,1,1,5,5,56,6,180,195
25,1205,1,1,1,1,44,6.1,182.5,220
11,537,1,1,3,3,25,5.1,152.5,180
18,1106,1,1,22,22,21,5.1,152.5,120
18,1106,1,1,22,22,24,5.5,162.5,180
4,160,1,1,33,33,52,5.11,177.5,180
18,280,1,1,4,4,28,5.8,170,165
4,990,1,1,3,3,19,5.1,152.5,170
25,15,3,3,10,10,18,5.1,152.5,130
18,1415,1,1,1,1,30,6,180,160
11,80,5,5,10,10,23,5.5,162.5,110
18,60,1,1,3,3,16,5.1,152.5,130
18,60,1,1,3,3,21,6,180,160
25,1290,1,1,10,10,20,6.2,185,150
18,948,30,11,10,10,17,5.3,157.5,110
11,60,1,1,2,2,18,6,180,175
4,960,1,1,10,10,25,5.11,177.5,165
11,134,1,1,4,4,28,5.1,152.5,200
4,420,0,0,25,25,37,5.1,152.5,195
11,1301,3,3,20,20,26,5.11,177.5,180
25,810,1,1,5,5,18,6,180,150
11,1025,1,1,24,24,18,5.8,170,160
11,1025,1,1,24,24,17,5.1,152.5,155
4,1190,3,3,10,10,25,6.1,182.5,215
25,535,0,0,1,1,19,6.1,182.5,170
18,275,1,1,5,5,28,5.11,177.5,160
4,435,1,1,3,3,30,6,180,165
4,669,1,1,10,10,36,5.1,152.5,170
4,735,1,1,5,5,35,6.6,195,240
4,735,1,1,5,5,21,5.11,177.5,250
18,1250,1,1,14,14,22,5.2,155,150
18,1250,1,1,14,14,21,5.11,177.5,160
18,1250,1,1,14,14,35,5.5,162.5,185
4,1355,1,1,10,10,20,6,180,180
4,1355,1,1,10,10,18,5.1,152.5,150
4,1355,1,1,10,10,20,6.4,190,200
18,1280,1,1,5,5,18,5.1,152.5,150
25,1035,1,1,5,5,43,5.8,170,170
18,1160,1,1,35,35,26,5.2,155,140
25,1378,1,1,4,4,30,6,180,250
4,975,1,1,5,5,21,5.8,170,160
18,1327,1,1,15,15,21,6,180,175
18,1327,1,1,15,15,21,5.8,170,250
4,1364,1,1,1,1,15,5.1,152.5,140
4,1430,2,2,4,4,30,5.11,177.5,170
18,1379,1,1,5,5,24,5.6,165,156
18,1379,1,1,5,5,21,4.11,147.5,180
18,1395,3,3,10,10,49,5.8,170,150
18,1395,3,3,10,10,33,5.11,177.5,200
18,1335,1,1,10,10,27,5.9,172.5,170
4,1347,1,1,2,2,30,5.1,152.5,180
18,720,0,0,10,10,49,6.1,182.5,190
4,1288,2,2,20,20,35,5.8,170,140
11,1265,1,1,7,7,19,5.11,177.5,180
25,204,1,1,3,3,24,5.7,167.5,140
25,760,1,1,2,2,25,6,180,200
25,760,1,1,2,2,25,5.1,152.5,180
11,1050,1,1,30,30,16,5.11,177.5,140
4,1186,1,1,10,10,17,5.6,165,135
18,980,0,0,10,10,14,5.7,167.5,130
18,616,1,1,10,10,31,5.7,167.5,170
18,895,3,3,5,5,17,5.1,152.5,160
18,895,3,3,5,5,16,5.9,172.5,150
25,180,1,1,13,13,20,5.9,172.5,205
25,1150,1,1,30,30,17,5.6,165,130
19,200,1,1,15,15,21,6,180,160
19,200,1,1,15,15,28,5.1,152.5,150
19,200,1,1,15,15,34,5.1,152.5,250
5,603,1,1,1,1,38,5.9,172.5,170
5,290,1,1,10,10,21,5.9,172.5,170
5,290,1,1,10,10,22,5.11,177.5,180
5,290,1,1,10,10,20,6.3,187.5,200
