min_players,max_players,avg_time,min_time,max_time,year,avg_rating,geek_rating,num_votes,age,owned,weight
2,5,100,40,100,2015,7.41974,6.53653,1215,14,2639,3.18
2,2,90,45,90,2017,8.13603,6.5275,822,14,2047,4.0286
2,5,60,60,60,2014,7.2363,6.5211,1527,10,2261,2.2469
2,4,60,60,60,2014,7.3522,6.5137,1267,10,2116,2.34
2,5,90,90,90,2014,7.19954,6.50891,1499,13,2134,3.0337
2,7,75,45,75,2015,7.49833,6.50175,1084,12,2383,2.3846
2,5,45,45,45,2016,8.36533,6.5,681,13,1021,3.6136
2,4,75,45,75,2016,7.17559,6.49644,1551,10,2219,2.587
2,5,75,60,75,2015,7.20451,6.49637,1664,13,3556,2.4368
3,6,15,15,15,2014,7.14037,6.49388,1717,14,4740,1.931
2,2,60,20,60,2017,7.99094,6.49271,890,12,1812,2.4348
2,5,40,0,40,2016,6.93798,6.48469,2575,14,5578,1.629
2,4,90,90,90,2014,7.18261,6.48108,1508,13,2413,2.7396
2,5,45,45,45,2014,7.38633,6.47919,1289,15,2948,2.1207
2,4,60,30,60,2017,8.41611,6.47652,754,12,1507,2.4444
2,4,60,40,60,2017,7.46928,6.47108,1066,12,1782,2.2609
2,5,20,20,20,2016,7.23176,6.47065,1389,10,2292,1.2895
2,4,90,60,90,2015,7.10169,6.46858,1599,12,2823,3.0625
2,4,15,10,15,2015,6.87634,6.46824,2893,13,5170,1.3361
2,5,120,60,120,2016,7.42313,6.46584,1197,10,2635,2.7
2,2,90,90,90,2016,7.69997,6.45902,835,10,2281,3.7059
2,4,90,60,90,2015,7.38934,6.4571,1068,12,2018,3.0735
2,5,45,30,45,2014,6.68019,6.45027,5296,13,12215,2.0797
4,6,240,120,240,2016,7.33094,6.44943,1240,14,2081,3.2105
2,2,60,60,60,2015,7.47437,6.4461,993,14,2786,2.4211
3,3,165,135,165,2014,8.10535,6.44026,604,14,1199,3.9839
3,5,90,60,90,2015,7.28768,6.4396,1179,12,1421,2.6061
2,2,20,20,20,2016,7.04814,6.43525,1680,10,4137,1.48
2,4,60,60,60,2014,6.90794,6.43231,2091,13,3936,2.1744
2,4,120,75,120,2015,7.25086,6.43048,1158,12,1799,3.0278
2,4,45,45,45,2015,7.1262,6.42962,1519,14,2005,2.4286
2,5,45,30,45,2016,7.04377,6.42246,1645,8,2825,1.8235
2,5,60,60,60,2015,7.03217,6.41891,1622,13,3225,2.9091
2,5,120,60,120,2015,7.6534,6.39598,780,12,1903,3.5672
2,2,30,30,30,2017,7.49369,6.39383,883,10,2143,1.7059
3,6,120,90,120,2014,7.52603,6.39035,842,13,1402,2.8852
3,6,2,2,2,2016,6.9447,6.38864,1769,6,3497,1.129
2,4,30,10,30,2017,7.12402,6.38801,1294,13,2128,1.8788
2,4,20,20,20,2014,6.85753,6.38663,2025,8,2941,1.4268
2,5,120,90,120,2017,7.74323,6.38477,779,13,2074,2.8182
2,4,20,0,20,2015,7.29491,6.38417,1164,10,2636,1.0286
2,6,60,60,60,2015,7.17506,6.37555,1252,14,2938,2.2653
2,4,90,60,90,2017,7.86463,6.37376,623,14,1501,2.6087
2,4,45,45,45,2015,6.87054,6.37014,1861,13,2799,2
2,4,30,20,30,2015,7.18475,6.3637,1210,8,2487,1.2826
2,6,75,30,75,2017,8.03098,6.36301,612,14,1913,2.8571
2,5,120,60,120,2017,7.57524,6.36131,784,12,1045,3.4848
2,5,75,75,75,2014,7.21357,6.3613,1080,10,1448,2.4507
2,5,45,30,45,2017,7.85187,6.35836,632,8,1223,1.5333
2,4,45,25,45,2015,6.86584,6.35447,1966,14,3531,2.1
2,4,20,20,20,2016,7.07753,6.35392,1227,13,2265,2.1818
2,4,90,60,90,2017,7.7364,6.35135,671,14,1288,3.16
2,2,30,15,30,2016,7.15396,6.34776,1158,10,2385,1.2857
2,4,90,60,90,2017,7.63682,6.34569,726,12,1008,3.1562
2,2,45,30,45,2015,7.03891,6.34529,1287,8,2373,1.8209
4,8,20,10,20,2014,6.74235,6.34276,2283,12,3877,1.2333
2,4,15,15,15,2014,6.94621,6.33464,1498,14,3202,2.2432
2,4,40,20,40,2017,7.15297,6.33408,1100,7,1589,1.7188
2,4,90,90,90,2015,7.27323,6.33164,931,12,1654,2.9444
2,4,50,30,50,2015,7.19245,6.32735,1025,12,1736,2.5641
2,4,90,45,90,2016,7.34766,6.3236,872,10,1789,3
2,5,180,120,180,2016,7.8089,6.32048,719,14,1730,2.8696
2,2,15,15,15,2015,8.22729,6.3163,459,10,1518,3.1538
2,6,40,40,40,2015,6.82836,6.31139,1750,8,3124,1.863
3,8,30,15,30,2015,7.04964,6.31013,1239,12,2124,1.0625
2,4,120,60,120,2014,6.94511,6.30926,1365,13,2697,3.0889
2,4,90,60,90,2015,7.58502,6.30486,685,14,1061,2.9057
