Year_of_Release,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Rating
2004,1.33,0.49,0.0,0.03,1.85,84,55,8.6,246,3
2005,1.53,0.05,0.0,0.25,1.84,87,25,8.5,36,1
2001,1.73,0.07,0.0,0.02,1.82,72,9,6.0,5,1
2003,1.05,0.59,0.0,0.18,1.81,82,27,8.2,11,1
2002,0.78,0.44,0.56,0.04,1.81,94,36,8.0,84,3
2004,0.88,0.69,0.0,0.23,1.81,88,64,9.0,178,1
2003,1.25,0.29,0.0,0.24,1.78,85,41,8.5,47,3
2004,0.39,1.01,0.02,0.36,1.78,57,53,7.6,47,4
2005,0.85,0.76,0.0,0.16,1.77,47,21,6.6,129,4
2004,1.06,0.54,0.0,0.16,1.76,75,5,9.0,54,1
2004,0.86,0.67,0.0,0.22,1.76,83,46,8.9,73,4
2002,0.86,0.67,0.0,0.22,1.76,71,34,5.7,33,4
2004,0.52,0.95,0.0,0.29,1.76,70,25,8.2,24,3
2001,0.61,0.87,0.02,0.26,1.76,84,25,8.0,21,3
2008,0.85,0.66,0.01,0.22,1.75,55,6,6.2,6,2
2002,0.63,0.49,0.45,0.17,1.74,83,35,8.7,99,3
2001,0.85,0.66,0.0,0.22,1.73,92,33,8.9,71,1
2003,0.8,0.21,0.55,0.15,1.72,80,55,7.7,134,3
2004,0.88,0.34,0.32,0.18,1.71,84,57,9.1,81,3
2006,1.41,0.05,0.0,0.23,1.7,87,18,8.6,23,1
2005,1.22,0.34,0.04,0.1,1.69,82,59,8.8,64,4
2003,0.93,0.52,0.0,0.22,1.67,93,41,9.1,125,1
2001,1.13,0.32,0.0,0.22,1.67,84,28,7.8,13,3
2003,1.35,0.09,0.0,0.23,1.67,94,15,8.8,81,1
2003,1.08,0.45,0.0,0.14,1.67,71,9,9.0,85,1
2000,0.78,0.61,0.06,0.2,1.66,93,35,8.3,33,1
2004,0.81,0.63,0.0,0.21,1.66,83,44,9.2,19,1
2002,1.25,0.15,0.03,0.22,1.66,83,22,8.3,28,1
