STOP_FRISK_DATE,STOP_FRISK_DATE_DAYNO,STOP_FRISK_TIME,STOP_FRISK_TIME_DAYMIN,MONTH2,DAY2,ISSUING_OFFICER_RANK,OBSERVED_DURATION_MINUTES,OBSERVED_DURATION_MINUTES_EDITED,SUSPECTED_CRIME_DESCRIPTION,SUSPECTED_CRIME_DESCRIPTION_EDITED,STOP_DURATION_MINUTES,STOP_DURATION_MINUTES_EDITED,SUSPECT_ARREST_OFFENSE,SUSPECT_ARREST_OFFENSE_EDITED,OFFICER_IN_UNIFORM_FLAG,WEAPON_FOUND_FLAG,DEMEANOR_OF_PERSON_STOPPED,DEMEANOR_OF_PERSON_STOPPED_TOP10,SUSPECT_REPORTED_AGE,SUSPECT_RACE_DESCRIPTION,SUSPECT_HEIGHT,SUSPECT_HEIGHT_EDITED,SUSPECT_WEIGHT,SUSPECT_OTHER_DESCRIPTION,SUSPECT_OTHER_DESCRIPTION_TOP10,STOP_LOCATION_BORO_NAME
10-03-2019,69,01:40:00,100,March,Sunday,POM,0,0,ROBBERY,ROBBERY,5,5,CPW,CPW,N,Y,#N/A,NONE,26,BLACK,5.9,172.5,165,(null),NONE,BRONX
10-03-2019,69,01:40:00,100,March,Sunday,POM,0,0,ROBBERY,ROBBERY,5,5,(null),NONE,N,N,#N/A,NONE,31,WHITE HISPANIC,5.7,167.5,260,(null),NONE,BRONX
17-03-2019,76,17:38:00,1058,March,Sunday,POM,0,0,GRAND LARCENY,GRAND LARCENY,5,5,GRAND LARCENY,GRAND LARCENY,Y,N,APP NORMAL,NORMAL,17,WHITE HISPANIC,5.4,160,120,TATTOO OF A CLOCK ON HIS LEFT HAND,TATTOO,BROOKLYN
31-03-2019,90,02:33:00,153,March,Sunday,POM,0,0,ROBBERY,ROBBERY,10,10,(null),NONE,N,N,ANGRY,ANGRY,24,BLACK HISPANIC,5.9,172.5,180,(null),NONE,BROOKLYN
24-03-2019,83,19:49:00,1189,March,Sunday,POM,1,1,ASSAULT,ASSAULT,40,40+,(null),NONE,Y,N,NORMAL,NORMAL,42,WHITE,6.1,182.5,200,(null),NONE,BROOKLYN
31-03-2019,90,21:23:00,1283,March,Sunday,POM,1,1,CPW,CPW,15,15,(null),NONE,Y,N,CORDIAL,NONE,18,WHITE,6.1,182.5,190,(null),NONE,BROOKLYN
31-03-2019,90,21:23:00,1283,March,Sunday,POM,1,1,CPW,CPW,15,15,(null),NONE,Y,N,CORDIAL,NONE,18,BLACK,5.9,172.5,170,(null),NONE,BROOKLYN
31-03-2019,90,21:23:00,1283,March,Sunday,POM,1,1,CPW,CPW,15,15,(null),NONE,Y,N,CORDIAL,NONE,17,BLACK,5.7,167.5,180,ALL BLACK CLOTHING,NONE,BROOKLYN
31-03-2019,90,21:23:00,1283,March,Sunday,POM,1,1,CPW,CPW,15,15,CP OF MARIHUANA,CP OF MARIHUANA,Y,N,ANNOYED,ANNOYED,17,BLACK HISPANIC,5.9,172.5,170,(null),NONE,BROOKLYN
03-03-2019,62,02:18:00,138,March,Sunday,POM,1,1,CPW,CPW,5,5,(null),NONE,N,N,CALM,CALM,20,BLACK,6,180,160,(null),NONE,BROOKLYN
31-03-2019,90,01:45:00,105,March,Sunday,POM,1,1,OTHER,OTHER,27,27,CPW,CPW,Y,Y,NERVOUS,NERVOUS,43,WHITE,5.7,167.5,180,(null),NONE,BROOKLYN
31-03-2019,90,01:45:00,105,March,Sunday,POM,1,1,OTHER,OTHER,27,27,(null),NONE,Y,N,NERVOUS,NERVOUS,41,WHITE,5.11,177.5,200,(null),NONE,BROOKLYN
03-03-2019,62,14:50:00,890,March,Sunday,SGT,1,1,CPW,CPW,3,3,(null),NONE,Y,N,"AGITATED, UNCOOPERATIVE",COOPERATIVE,30,BLACK,6,180,150,"FACIAL CHIN HAIR, RED HOODIE, BLACK/WHITE CHAMPION SWEAT PANTS, RED SNEAKERS",HOODIE,BROOKLYN
03-03-2019,62,09:15:00,555,March,Sunday,POM,1,1,CPW,CPW,10,10,CPW,CPW,Y,Y,CALM,CALM,29,WHITE HISPANIC,5.8,170,200,(null),NONE,BROOKLYN
17-03-2019,76,00:10:00,10,March,Sunday,DTS,2,2,CPW,CPW,5,5,(null),NONE,N,N,CALM,CALM,20,BLACK,6.1,182.5,180,(null),NONE,BROOKLYN
17-03-2019,76,00:10:00,10,March,Sunday,SSA,2,2,CPW,CPW,5,5,(null),NONE,N,N,CALM,CALM,20,BLACK,5.7,167.5,130,(null),NONE,BROOKLYN
17-03-2019,76,00:10:00,10,March,Sunday,POM,1,1,CPW,CPW,5,5,(null),NONE,N,N,NORMAL,NORMAL,20,BLACK,5.2,155,140,(null),NONE,BROOKLYN
31-03-2019,90,19:00:00,1140,March,Sunday,POM,1,1,CPW,CPW,5,5,(null),NONE,N,N,IRRATE,NONE,28,BLACK HISPANIC,6.2,185,200,"ORTIZ ,TRAVIS 12/07/90",NONE,BROOKLYN
31-03-2019,90,22:21:00,1341,March,Sunday,SGT,1,1,CPW,CPW,1,1,(null),NONE,N,N,AGITATED,AGITATED,25,BLACK,5.8,170,150,(null),NONE,BROOKLYN
10-03-2019,69,00:40:00,40,March,Sunday,DTS,1,1,CPW,CPW,3,3,CPW,CPW,N,Y,N/A,NONE,19,BLACK,6.2,185,190,(null),NONE,BROOKLYN
17-03-2019,76,00:55:00,55,March,Sunday,POM,1,1,ASSAULT,ASSAULT,5,5,(null),NONE,Y,N,INTOX,NONE,53,BLACK,5.6,165,160,(null),NONE,BROOKLYN
24-03-2019,83,17:55:00,1075,March,Sunday,DTS,0,0,CPW,CPW,20,20,(null),NONE,Y,N,CORPORATED WITH POLICE OFFICERS.,NONE,31,BLACK,5.8,170,250,NONE,NONE,BROOKLYN
03-03-2019,62,16:00:00,960,March,Sunday,POF,1,1,CPW,CPW,5,5,CPW,CPW,N,Y,AGGRESSIVE,NONE,16,BLACK,5.9,172.5,140,NA,NONE,BROOKLYN
